station,lat,lon,n_years,years
01430099999,58.0166666,7.45,6,2015;2016;2017;2018;2019;2020
01431099999,58.9333333,6.9166666,6,2015;2016;2017;2018;2019;2020
01433099999,59.8333333,6.9833333,1,2015
01434099999,59.7666666,7.3666666,6,2015;2016;2017;2018;2019;2020
01435099999,59.8166666,7.2166666,6,2015;2016;2017;2018;2019;2020
01436099999,57.9833333,7.05,6,2015;2016;2017;2018;2019;2020
01439099999,58.25,7.4419444,6,2015;2016;2017;2018;2019;2020
01440099999,59.3333333,6.8666666,6,2015;2016;2017;2018;2019;2020
01441099999,59.5833333,7.3833333,6,2015;2016;2017;2018;2019;2020
01442099999,58.6666666,7.8,6,2015;2016;2017;2018;2019;2020
01444099999,59.2,7.5166666,6,2015;2016;2017;2018;2019;2020
01447099999,59.5,8.2,6,2015;2016;2017;2018;2019;2020
01448099999,58.0666666,8.05,6,2015;2016;2017;2018;2019;2020
01449099999,58.8666666,9.0333333,6,2015;2016;2017;2018;2019;2020
01450099999,59.8333333,8.1833333,6,2015;2016;2017;2018;2019;2020
01452099999,58.204214,8.085369,6,2015;2016;2017;2018;2019;2020
01453099999,58.6,8.4166666,6,2015;2016;2017;2018;2019;2020
01455099999,59.0333333,8.5166666,6,2015;2016;2017;2018;2019;2020
01459099999,58.65,8.6333333,6,2015;2016;2017;2018;2019;2020
01460099999,59.4333333,10.5833333,6,2015;2016;2017;2018;2019;2020
01461199999,59.85,8.65,4,2015;2016;2017;2018
01462099999,59.0833333,9.6666666,6,2015;2016;2017;2018;2019;2020
01463099999,59.65,10.7666666,6,2015;2016;2017;2018;2019;2020
01464099999,58.3333333,8.5166666,6,2015;2016;2017;2018;2019;2020
01465099999,58.4,8.7833333,6,2015;2016;2017;2018;2019;2020
01466099999,59.9666666,11.0333333,6,2015;2016;2017;2018;2019;2020
01467099999,58.6333333,9.15,6,2015;2016;2017;2018;2019;2020
01468099999,60.1833333,12.0,6,2015;2016;2017;2018;2019;2020
01469099999,60.1666666,10.25,6,2015;2016;2017;2018;2019;2020
01470099999,59.3833333,9.2,4,2015;2016;2019;2020
01470399999,59.565683,9.212222,6,2015;2016;2017;2018;2019;2020
01471099999,60.05,9.15,6,2015;2016;2017;2018;2019;2020
01473099999,59.6166666,9.6333333,6,2015;2016;2017;2018;2019;2020
01476099999,58.85,9.55,6,2015;2016;2017;2018;2019;2020
01477099999,59.7166666,10.15,6,2015;2016;2017;2018;2019;2020
01478099999,58.9666666,10.15,6,2015;2016;2017;2018;2019;2020
01480099999,59.75,10.1333333,6,2015;2016;2017;2018;2019;2020
01481099999,59.2333333,10.35,6,2015;2016;2017;2018;2019;2020
01482099999,59.0333333,10.5166666,6,2015;2016;2017;2018;2019;2020
01482599999,59.186703,10.258628,6,2015;2016;2017;2018;2019;2020
01483099999,59.1833333,10.2666666,2,2019;2020
01484099999,59.9166666,11.5833333,6,2015;2016;2017;2018;2019;2020
01484399999,59.3166667,10.45,6,2015;2016;2017;2018;2019;2020
01485099999,59.6166666,10.2166666,6,2015;2016;2017;2018;2019;2020
01486099999,59.85,10.4333333,6,2015;2016;2017;2018;2019;2020
01487099999,59.9333333,10.8333333,1,2015
01488099999,60.1166666,10.8333333,6,2015;2016;2017;2018;2019;2020
01488199999,61.206389,1.828889,6,2015;2016;2017;2018;2019;2020
01489099999,60.05,10.6833333,6,2015;2016;2017;2018;2019;2020
01490099999,59.9833333,10.6833333,6,2015;2016;2017;2018;2019;2020
01492099999,59.95,10.7166666,6,2015;2016;2017;2018;2019;2020
01493099999,59.2833333,11.1166666,6,2015;2016;2017;2018;2019;2020
01494099999,59.378889,10.785556,6,2015;2016;2017;2018;2019;2020
01495099999,59.15,10.8333333,6,2015;2016;2017;2018;2019;2020
02000199999,56.082779,13.2125,6,2015;2016;2017;2018;2019;2020
02013099999,67.7333333,17.4666666,6,2015;2016;2017;2018;2019;2020
02019099999,68.4166666,18.1666666,6,2015;2016;2017;2018;2019;2020
02020099999,68.4166666,18.1666666,5,2015;2016;2017;2018;2019
02022099999,68.35379,18.81644,2,2019;2020
02024099999,67.5,18.3,6,2015;2016;2017;2018;2019;2020
02029099999,67.9166666,18.6,6,2015;2016;2017;2018;2019;2020
02031099999,68.0666666,19.8333333,6,2015;2016;2017;2018;2019;2020
02036099999,67.85,19.0333333,6,2015;2016;2017;2018;2019;2020
02038099999,67.25,20.2666666,6,2015;2016;2017;2018;2019;2020
02044099999,67.821986,20.336764,6,2015;2016;2017;2018;2019;2020
02049099999,67.132408,20.814636,6,2015;2016;2017;2018;2019;2020
02054099999,68.05,21.75,2,2015;2016
02055099999,68.6833333,21.5333333,6,2015;2016;2017;2018;2019;2020
02064099999,67.3333333,22.2333333,6,2015;2016;2017;2018;2019;2020
02072099999,67.7333333,22.8333333,6,2015;2016;2017;2018;2019;2020
02081099999,68.45,22.45,6,2015;2016;2017;2018;2019;2020
02095099999,67.2,23.3833333,6,2015;2016;2017;2018;2019;2020
02101099999,65.806111,15.082778,6,2015;2016;2017;2018;2019;2020
02102099999,65.1,14.5166666,6,2015;2016;2017;2018;2019;2020
02103099999,65.7833333,15.0666666,6,2015;2016;2017;2018;2019;2020
02110099999,65.3333333,15.0666666,6,2015;2016;2017;2018;2019;2020
02119099999,66.8833333,18.0166666,6,2015;2016;2017;2018;2019;2020
02120599999,64.95,17.7,6,2015;2016;2017;2018;2019;2020
02121099999,66.6833333,16.1166666,6,2015;2016;2017;2018;2019;2020
02123099999,66.3166666,17.1,2,2015;2016
02124099999,66.05,17.8333333,6,2015;2016;2017;2018;2019;2020
02130099999,66.4833333,16.4166666,2,2015;2016
02135099999,65.5666666,17.8666666,6,2015;2016;2017;2018;2019;2020
02141099999,66.3166667,19.2166667,6,2015;2016;2017;2018;2019;2020
02146099999,66.5,19.6833333,2,2015;2016
02147099999,65.15,18.6,6,2015;2016;2017;2018;2019;2020
02149099999,65.6,19.2666666,6,2015;2016;2017;2018;2019;2020
02151099999,66.4833333,20.1666666,6,2015;2016;2017;2018;2019;2020
02154099999,65.875325,20.149917,6,2015;2016;2017;2018;2019;2020
02161099999,66.75,20.9333333,6,2015;2016;2017;2018;2019;2020
02170099999,65.75,21.7666666,2,2015;2016
