station,lat,lon,n_years_ok,total_hours,common_hours,has_valid_month_1pt_fixed12,has_valid_month_2pt_fixed_00_12,has_valid_month_1pt_daily_mean,has_valid_month_2pt_dynamic,has_valid_month_baseline,has_valid_month_scaled
01368099999,61.015556,9.288056,6,47695,46898,True,True,True,True,True,True
01369099999,60.9166666,9.2833333,3,3007,0,True,False,True,True,True,True
01370099999,61.5166666,9.4,6,51604,50476,True,True,True,True,True,True
01371099999,61.1166666,9.0666666,6,51770,51206,True,True,True,True,True,True
01373099999,60.5666666,9.1333333,6,44779,43400,True,True,True,True,True,True
01374099999,60.9333333,10.0333333,6,48484,45830,True,True,True,True,True,True
01375099999,61.4666666,10.1333333,6,46906,42518,True,True,True,True,True,True
01375599999,61.0333333,2.0333333,6,51764,0,False,False,False,False,False,False
01376099999,60.3833333,9.6,6,43359,42060,True,True,True,True,True,True
01378099999,61.1,10.4666666,6,50052,48349,True,True,True,True,True,True
01380099999,61.65,10.1166666,6,48150,47016,True,True,True,True,True,True
01381099999,60.7,10.8666666,6,51569,51110,True,True,True,True,True,True
01382099999,60.7666666,10.8,6,51446,50868,True,True,True,True,True,True
01383099999,61.4,11.0802778,6,50870,49647,True,True,True,True,True,True
01384099999,60.193917,11.100361,6,52508,52403,True,True,True,True,True,True
01385099999,60.8166666,11.0666666,6,49612,47257,True,True,True,True,True,True
01386099999,60.8,11.1,6,50257,49069,True,True,True,True,True,True
01387099999,61.45,10.1833333,6,51238,50502,True,True,True,True,True,True
01389099999,61.1833333,11.3666666,6,51424,50581,True,True,True,True,True,True
01392099999,60.6166666,12.0166666,6,49743,47531,True,True,True,True,True,True
01393099999,61.8833333,12.0333333,6,51151,50347,True,True,True,True,True,True
01397099999,61.3,12.2666666,6,51390,50102,True,True,True,True,True,True
01400099999,56.55,3.2166666,6,47944,0,False,False,False,False,False,False
01403099999,59.3,4.8666666,6,49421,0,False,False,False,False,False,False
01403399999,56.55,3.25,6,46220,0,False,False,False,False,False,False
01406099999,59.9166666,5.0666666,6,49756,0,False,False,False,False,False,False
01408099999,59.345267,5.208364,6,52475,0,False,False,False,False,False,False
01411099999,59.0666666,5.4166666,6,49215,0,False,False,False,False,False,False
01412099999,58.65,5.5666666,6,48834,0,False,False,False,False,False,False
01413099999,58.75,5.65,6,50969,48026,True,True,True,True,True,True
01414099999,59.4333333,5.0666666,6,49490,0,False,False,False,False,False,False
01415099999,58.876667,5.637778,6,52510,52405,True,True,True,True,True,True
01416099999,58.95,5.7333333,6,50307,49175,True,True,True,True,True,True
01417099999,59.4833333,5.75,6,50985,49531,True,True,True,True,True,True
01418099999,60.0166666,5.2,6,49163,0,False,False,False,False,False,False
01419099999,59.05,6.1166666,6,51881,51205,True,True,True,True,True,True
01422099999,59.1666666,6.0333333,6,48059,0,False,False,False,False,False,False
01424099999,59.65,6.3666666,6,38499,36396,True,True,True,True,True,True
01425099999,58.5166666,6.5166666,6,50645,47863,True,True,True,True,True,True
01426099999,58.4333333,5.8666666,6,50333,0,False,False,False,False,False,False
01427099999,58.1166666,6.5666666,6,48425,46935,True,True,True,True,True,True
01428199999,59.1108,2.8458,6,51726,0,False,False,False,False,False,False
01430099999,58.0166666,7.45,6,49514,48608,True,True,True,True,True,True
01431099999,58.9333333,6.9166666,6,50221,48219,True,True,True,True,True,True
01433099999,59.8333333,6.9833333,1,2748,2667,True,True,True,True,True,True
01434099999,59.7666666,7.3666666,6,50003,49273,True,True,True,True,True,True
01435099999,59.8166666,7.2166666,6,47310,46240,True,True,True,True,True,True
01436099999,57.9833333,7.05,6,49904,48060,True,True,True,True,True,True
01439099999,58.25,7.4419444,6,6396,0,True,False,True,True,True,True
01440099999,59.3333333,6.8666666,6,47387,43991,True,True,True,True,True,True
01441099999,59.5833333,7.3833333,6,49216,48503,True,True,True,True,True,True
01442099999,58.6666666,7.8,6,50383,47615,True,True,True,True,True,True
01444099999,59.2,7.5166666,6,50061,48768,True,True,True,True,True,True
01447099999,59.5,8.2,6,51610,50324,True,True,True,True,True,True
01448099999,58.0666666,8.05,6,46132,0,False,False,False,False,False,False
01449099999,58.8666666,9.0333333,6,49571,47364,True,True,True,True,True,True
01450099999,59.8333333,8.1833333,6,50228,48674,True,True,True,True,True,True
01452099999,58.204214,8.085369,6,52516,52367,True,True,True,True,True,True
01453099999,58.6,8.4166666,6,50527,48827,True,True,True,True,True,True
01455099999,59.0333333,8.5166666,6,50372,48527,True,True,True,True,True,True
01459099999,58.65,8.6333333,6,6425,0,True,False,True,True,True,True
01460099999,59.4333333,10.5833333,6,45341,0,False,False,False,False,False,False
01461199999,59.85,8.65,4,20745,20066,True,True,True,True,True,True
01462099999,59.0833333,9.6666666,6,49142,46656,True,True,True,True,True,True
01463099999,59.65,10.7666666,6,48394,47192,True,True,True,True,True,True
01464099999,58.3333333,8.5166666,6,51257,48349,True,True,True,True,True,True
01465099999,58.4,8.7833333,6,45559,0,False,False,False,False,False,False
01466099999,59.9666666,11.0333333,6,47845,46659,True,True,True,True,True,True
01467099999,58.6333333,9.15,6,51765,0,False,False,False,False,False,False
01468099999,60.1833333,12.0,6,48593,48184,True,True,True,True,True,True
01469099999,60.1666666,10.25,6,50490,49191,True,True,True,True,True,True
01470099999,59.3833333,9.2,4,26312,25826,True,True,True,True,True,True
01470399999,59.565683,9.212222,6,16400,0,True,False,True,True,True,True
01471099999,60.05,9.15,6,49337,47860,True,True,True,True,True,True
01473099999,59.6166666,9.6333333,6,49879,48302,True,True,True,True,True,True
01476099999,58.85,9.55,6,48337,0,False,False,False,False,False,False
01477099999,59.7166666,10.15,6,48662,46590,True,True,True,True,True,True
01478099999,58.9666666,10.15,6,46674,0,False,False,False,False,False,False
01480099999,59.75,10.1333333,6,49359,47277,True,True,True,True,True,True
01481099999,59.2333333,10.35,6,48826,46661,True,True,True,True,True,True
01482099999,59.0333333,10.5166666,6,50811,0,False,False,False,False,False,False
01482599999,59.186703,10.258628,6,51967,51047,True,True,True,True,True,True
01483099999,59.1833333,10.2666666,2,13495,12676,True,True,True,True,True,True
01484099999,59.9166666,11.5833333,6,48515,47609,True,True,True,True,True,True
01484399999,59.3166667,10.45,6,51449,49120,True,True,True,True,True,True
01485099999,59.6166666,10.2166666,6,50406,47485,True,True,True,True,True,True
01486099999,59.85,10.4333333,6,48770,47953,True,True,True,True,True,True
01487099999,59.9333333,10.8333333,1,3491,3414,True,True,True,True,True,True
01488099999,60.1166666,10.8333333,6,49666,48461,True,True,True,True,True,True
01488199999,61.206389,1.828889,6,49699,0,False,False,False,False,False,False
01489099999,60.05,10.6833333,6,46550,44798,True,True,True,True,True,True
01490099999,59.9833333,10.6833333,6,49661,47725,True,True,True,True,True,True
01492099999,59.95,10.7166666,6,50796,48191,True,True,True,True,True,True
01493099999,59.2833333,11.1166666,6,47723,45667,True,True,True,True,True,True
01494099999,59.378889,10.785556,6,52453,52250,True,True,True,True,True,True
01495099999,59.15,10.8333333,6,51425,0,False,False,False,False,False,False
02000199999,56.082779,13.2125,6,46810,45873,True,True,True,True,True,True
02013099999,67.7333333,17.4666666,6,48982,31518,True,True,True,True,True,True
02019099999,68.4166666,18.1666666,6,51832,37970,True,True,True,True,True,True
02020099999,68.4166666,18.1666666,5,7575,0,True,False,True,True,True,True
02022099999,68.35379,18.81644,2,2999,1880,True,True,True,True,True,True
02024099999,67.5,18.3,6,49477,35999,True,True,True,True,True,True
02029099999,67.9166666,18.6,6,50741,37191,True,True,True,True,True,True
02031099999,68.0666666,19.8333333,6,51479,37880,True,True,True,True,True,True
02036099999,67.85,19.0333333,6,50448,36860,True,True,True,True,True,True
02038099999,67.25,20.2666666,6,51282,41936,True,True,True,True,True,True
02044099999,67.821986,20.336764,6,52268,42822,True,True,True,True,True,True
02049099999,67.132408,20.814636,6,52429,43350,True,True,True,True,True,True
02054099999,68.05,21.75,2,6695,4493,True,True,True,True,True,True
02055099999,68.6833333,21.5333333,6,50479,40887,True,True,True,True,True,True
02064099999,67.3333333,22.2333333,6,51624,42347,True,True,True,True,True,True
02072099999,67.7333333,22.8333333,6,49908,41091,True,True,True,True,True,True
02081099999,68.45,22.45,6,49289,40474,True,True,True,True,True,True
02095099999,67.2,23.3833333,6,51676,42202,True,True,True,True,True,True
02101099999,65.806111,15.082778,6,52270,43119,True,True,True,True,True,True
02102099999,65.1,14.5166666,6,50819,41582,True,True,True,True,True,True
02103099999,65.7833333,15.0666666,6,49417,40582,True,True,True,True,True,True
02110099999,65.3333333,15.0666666,6,51183,41792,True,True,True,True,True,True
02119099999,66.8833333,18.0166666,6,51670,42186,True,True,True,True,True,True
02120599999,64.95,17.7,6,51110,46010,True,True,True,True,True,True
02121099999,66.6833333,16.1166666,6,49925,40603,True,True,True,True,True,True
02123099999,66.3166666,17.1,2,10903,8501,True,True,True,True,True,True
02124099999,66.05,17.8333333,6,51583,42525,True,True,True,True,True,True
02130099999,66.4833333,16.4166666,2,10793,8375,True,True,True,True,True,True
02135099999,65.5666666,17.8666666,6,51174,41963,True,True,True,True,True,True
02141099999,66.3166667,19.2166667,6,50353,40938,True,True,True,True,True,True
02146099999,66.5,19.6833333,2,11068,8688,True,True,True,True,True,True
02147099999,65.15,18.6,6,51636,46453,True,True,True,True,True,True
02149099999,65.6,19.2666666,6,49434,40607,True,True,True,True,True,True
02151099999,66.4833333,20.1666666,6,46927,37800,True,True,True,True,True,True
02154099999,65.875325,20.149917,6,51979,47078,True,True,True,True,True,True
02161099999,66.75,20.9333333,6,50757,40940,True,True,True,True,True,True
02170099999,65.75,21.7666666,2,9781,7449,True,True,True,True,True,True
02171099999,65.8166666,21.6333333,6,51199,41458,True,True,True,True,True,True
02173099999,65.6666666,21.0666666,6,51517,46359,True,True,True,True,True,True
02174099999,66.2833333,21.1333333,6,51061,41778,True,True,True,True,True,True
02176099999,65.0333333,21.5666666,6,50222,0,False,False,False,False,False,False
02181099999,66.2666666,22.85,6,50317,40862,True,True,True,True,True,True
02184099999,66.8166666,22.3333333,6,51613,42359,True,True,True,True,True,True
02186099999,65.543758,22.121989,6,52408,0,False,False,False,False,False,False
